"Latitude","Longitude","UTC","Pollutant","AQI","Category","Location","ReportingAgency","StationID","FullStationID"
"29.170799","-82.1008","2021-10-20T20:00","PM2.5","17","1","YMCA - Marion County","Florida Dept. of Environmental Protection","120830003","840120830003"
"35.912487","-82.062082","2021-10-20T20:00","PM2.5","19","1","Spruce Pine","North Carolina DEQ - Division of Air Quality","371210004","840371210004"
"33.4333","-82.0219","2021-10-20T20:00","PM2.5","42","1","Augusta","Georgia Department of Natural Resources","132450091","840132450091"
"33.4333","-82.0219","2021-10-20T20:00","PM10","19","1","Augusta","Georgia Department of Natural Resources","132450091","840132450091"
"28.0294","-81.9719","2021-10-20T20:00","PM2.5","18","1","Fl. Baptist Children's Home","Florida Dept. of Environmental Protection","121056006","840121056006"
"28.0294","-81.9719","2021-10-20T20:00","PM10","11","1","Fl. Baptist Children's Home","Florida Dept. of Environmental Protection","121056006","840121056006"
"26.6028","-81.8789","2021-10-20T20:00","PM2.5","31","1","Winkler Pump Station","Florida Dept. of Environmental Protection","120710005","840120710005"
"33.7397","-81.8536","2021-10-20T20:00","PM2.5","40","1","Trenton","South Carolina DHEC","450370001","840450370001"
"43.3306","-81.7425","2021-10-20T20:00","PM2.5","25","1","Grand Bend","Ontario Ministry of the Environment","000063701","124000063701"
"26.2992","-81.72","2021-10-20T20:00","PM2.5","29","1","Laurel Oaks Elementary","Florida Dept. of Environmental Protection","120210004","840120210004"
"41.477011","-81.682383","2021-10-20T20:00","PM2.5","30","1","St Theodosius","Ohio EPA-DAPC","390350038","840390350038"
"41.492191","-81.678552","2021-10-20T20:00","PM10","41","1","GT Craig NCore","Ohio EPA-DAPC","390350060","840390350060"
"29.686667","-81.656389","2021-10-20T20:00","PM10","24","1","Palatka","Florida Dept. of Environmental Protection","121071008","840121071008"
"30.356111","-81.635556","2021-10-20T20:00","PM10","25","1","Kooker Park","City of Jacksonville - Environmental Quality Division","120310032","840120310032"
"30.356111","-81.635556","2021-10-20T20:00","PM2.5","23","1","Kooker Park","City of Jacksonville - Environmental Quality Division","120310032","840120310032"
"30.1358","-81.6339","2021-10-20T20:00","PM2.5","17","1","Mandarin","City of Jacksonville - Environmental Quality Division","120310098","840120310098"
"30.1358","-81.6339","2021-10-20T20:00","PM10","10","1","Mandarin","City of Jacksonville - Environmental Quality Division","120310098","840120310098"
"30.262808","-81.606834","2021-10-20T20:00","PM2.5","18","1","Pepsi Place","City of Jacksonville - Environmental Quality Division","120310108","840120310108"
"30.4758","-81.5869","2021-10-20T20:00","PM2.5","17","1","Sheffield Elementary School","City of Jacksonville - Environmental Quality Division","120310077","840120310077"
"44.2994","-81.5753","2021-10-20T20:00","PM2.5","37","1","Tiverton","Ontario Ministry of the Environment","000062501","124000062501"
"41.063526","-81.468956","2021-10-20T20:00","PM2.5","42","1","East HS","Ohio EPA-DAPC","391530017","840391530017"
"30.2603","-81.4533","2021-10-20T20:00","PM2.5","26","1","Mayo Clinic","City of Jacksonville - Environmental Quality Division","120310100","840120310100"
"40.800717","-81.373","2021-10-20T20:00","PM2.5","31","1","Canton","Ohio EPA-DAPC","391510020","840391510020"
"28.5997","-81.3628","2021-10-20T20:00","PM2.5","21","1","Winter Park","Florida Dept. of Environmental Protection","120952002","840120952002"
"28.7456","-81.31","2021-10-20T20:00","PM2.5","16","1","Seminole Community College (AG COMP)","Florida Dept. of Environmental Protection","121171002","840121171002"
"28.7456","-81.31","2021-10-20T20:00","PM10","10","1","Seminole Community College (AG COMP)","Florida Dept. of Environmental Protection","121171002","840121171002"
"42.974461","-81.200858","2021-10-20T20:00","PM2.5","37","1","London","Ontario Ministry of the Environment","000060904","124000060904"
"42.6725","-81.1647","2021-10-20T20:00","PM2.5","27","1","Port Stanley","Ontario Ministry of the Environment","000065301","124000065301"
"32.0903","-81.1306","2021-10-20T20:00","PM2.5","47","1","Savannah L&A","Georgia Department of Natural Resources","130511002","840130511002"
"32.0903","-81.1306","2021-10-20T20:00","PM10","44","1","Savannah L&A","Georgia Department of Natural Resources","130511002","840130511002"
"33.969145","-81.06629","2021-10-20T20:00","PM10","16","1","Cayce City Hall","South Carolina DHEC","450630010","840450630010"
"29.2069","-81.0531","2021-10-20T20:00","PM2.5","18","1","Blind Services; 1185-A Dunn Ave","Florida Dept. of Environmental Protection","121275002","840121275002"
"29.2069","-81.0531","2021-10-20T20:00","PM10","10","1","Blind Services; 1185-A Dunn Ave","Florida Dept. of Environmental Protection","121275002","840121275002"
"46.491941","-81.003105","2021-10-20T20:00","PM2.5","23","1","Sudbury","Ontario Ministry of the Environment","000060610","124000060610"
"34.91263","-80.874283","2021-10-20T20:00","PM2.5","34","1","Catawba Indian Nation","Catawba Indian Nation","TT0328801","840TT0328801"
"35.213171","-80.874084","2021-10-20T20:00","PM2.5","39","1","Remount","Mecklenburg County Air Quality","371190045","840371190045"
"35.281791","-80.851473","2021-10-20T20:00","PM2.5","46","1","Friendship Park","Mecklenburg County Air Quality","840371190048","840371190048"
"41.23172","-80.80116","2021-10-20T20:00","PM2.5","33","1","Laird Eng Bldg","Ohio EPA-DAPC","391550014","840391550014"
"35.2411","-80.7831","2021-10-20T20:00","PM2.5","32","1","GARINGER","Mecklenburg County Air Quality","371190041","840371190041"
"35.2411","-80.7831","2021-10-20T20:00","PM10","19","1","GARINGER","Mecklenburg County Air Quality","371190041","840371190041"
"39.9158","-80.7342","2021-10-20T20:00","PM2.5","30","1","MOUNDSVILLE","West Virginia Division of Air Quality - Wheeling","540511002","840540511002"
"26.724167","-80.663055","2021-10-20T20:00","PM2.5","18","1","Belle Glade","Florida Dept. of Environmental Protection","120990008","840120990008"
"28.0542","-80.6283","2021-10-20T20:00","PM2.5","17","1","Melbourne","Florida Dept. of Environmental Protection","120090007","840120090007"
"28.0542","-80.6283","2021-10-20T20:00","PM10","11","1","Melbourne","Florida Dept. of Environmental Protection","120090007","840120090007"
"40.366452","-80.615691","2021-10-20T20:00","PM2.5","32","1","Steubenville","Ohio EPA-DAPC","390810017","840390810017"
"43.4419","-80.5044","2021-10-20T20:00","PM2.5","45","1","Kitchener","Ontario Ministry of the Environment","000061502","124000061502"
"41.215","-80.485","2021-10-20T20:00","PM2.5","28","1","Farrell","Pennsylvania Dept. of Environmental Protection","420850100","840420850100"
"40.4447","-80.42","2021-10-20T20:00","PM2.5","27","1","Florence","Pennsylvania Dept. of Environmental Protection","421255001","840421255001"
"35.551868","-80.395039","2021-10-20T20:00","PM2.5","11","1","ROCKWELL","North Carolina DEQ - Division of Air Quality","371590021","840371590021"
"36.0261","-80.3419","2021-10-20T20:00","PM2.5","19","1","Clemmons Middle","Forsyth County Office of Environmental Assistance and Protection","370670030","840370670030"
"26.0732","-80.3386","2021-10-20T20:00","PM2.5","20","1","V_VIEW","Broward County Environmental Engineering and Permitting  Division","120110033","840120110033"
"40.747799","-80.316704","2021-10-20T20:00","PM2.5","30","1","Beaver Falls","Pennsylvania Dept. of Environmental Protection","420070014","840420070014"
